numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,0.557,0.019,0.865,3.746,-7.217,8.385
2,0.531,-0.007,0.912,2.060,2.289,-0.778
3,0.538,-0.008,0.900,1.923,5.379,-0.801
4,0.534,-0.005,0.916,1.968,6.546,-0.977
5,0.531,-0.007,0.912,1.694,5.684,-0.504
6,0.533,-0.007,0.918,1.839,5.501,-0.626
7,0.541,-0.005,0.914,1.633,5.890,-1.038
8,0.531,-0.007,0.912,1.762,4.883,-0.679
9,0.532,-0.004,0.919,1.999,4.837,-0.977
10,0.537,-0.006,0.911,1.839,5.768,-0.389
11,0.533,-0.005,0.919,1.663,6.073,-0.824
12,0.534,-0.005,0.916,1.915,5.020,-0.656
13,0.536,-0.003,0.919,1.541,5.730,-0.275
14,0.532,-0.009,0.912,1.961,7.309,-0.694
15,0.533,-0.009,0.921,1.778,5.341,-0.771
16,0.531,-0.008,0.913,1.961,3.799,-1.076
17,0.536,-0.008,0.911,1.816,5.966,-0.610
18,0.535,-0.010,0.918,1.495,5.936,-0.793
19,0.510,-0.015,0.878,2.876,-1.595,-1.640
20,0.523,-0.010,0.914,3.036,8.461,1.846
21,0.539,-0.007,0.897,2.258,3.311,-1.022
22,0.541,-0.001,0.910,2.113,8.949,-0.656
23,0.537,-0.003,0.920,2.052,7.553,-0.603
24,0.531,-0.007,0.927,1.808,4.097,-0.618
25,0.533,-0.002,0.907,1.785,3.822,-0.847
26,0.536,-0.007,0.911,1.877,5.600,-0.900
27,0.534,-0.006,0.919,1.823,6.531,-0.778
28,0.534,-0.006,0.919,1.610,5.905,-0.832
29,0.534,-0.006,0.919,1.884,5.249,-0.580
30,0.539,-0.011,0.911,1.930,4.768,-0.717
31,0.534,-0.006,0.916,1.915,5.676,-0.984
32,0.532,-0.006,0.913,1.694,5.447,-0.717
33,0.535,-0.006,0.914,1.678,5.051,-0.465
34,0.537,-0.008,0.913,1.793,5.600,-0.809
35,0.534,-0.009,0.911,1.755,5.356,-0.816
36,0.536,-0.004,0.916,1.968,5.318,-0.793
37,0.535,-0.007,0.922,1.984,5.005,-0.549
38,0.535,-0.007,0.916,1.793,5.226,-0.336
39,0.540,-0.009,0.916,1.823,5.737,-0.572
40,0.534,-0.007,0.916,1.808,5.417,-0.641
41,0.534,-0.005,0.915,2.144,5.135,-0.954
42,0.536,-0.008,0.911,1.671,5.165,-0.839
43,0.535,-0.007,0.911,1.740,5.699,-0.816
44,0.537,-0.008,0.918,1.808,5.875,-0.786
45,0.528,-0.007,0.913,2.068,5.371,-0.664
46,0.537,-0.008,0.913,1.991,4.921,-0.633
47,0.534,-0.009,0.915,1.923,5.112,-0.542
48,0.533,-0.003,0.918,1.953,5.867,-0.740
49,0.538,-0.007,0.920,1.892,5.173,-1.030
50,0.535,-0.005,0.916,1.846,5.478,-0.839
51,0.535,-0.007,0.918,1.945,5.264,-0.793
52,0.536,-0.004,0.918,1.640,5.241,-1.122
53,0.536,-0.008,0.916,1.892,5.501,-0.694
54,0.533,-0.005,0.913,1.923,5.814,-0.862
55,0.535,-0.009,0.913,1.991,5.203,-0.778
56,0.533,-0.009,0.916,2.022,4.814,-0.999
57,0.535,-0.009,0.916,1.854,5.417,-0.832
58,0.536,-0.002,0.911,1.953,5.867,-0.648
59,0.535,-0.002,0.917,1.869,5.669,-0.885
60,0.533,-0.007,0.918,1.854,5.333,-0.916
61,0.532,-0.003,0.909,1.907,5.096,-0.534
62,0.538,-0.006,0.915,2.083,5.295,-0.748
63,0.536,-0.008,0.910,1.823,5.196,-0.877
64,0.536,-0.004,0.906,1.785,5.135,-0.786
65,0.536,-0.007,0.919,1.915,6.042,-0.473
66,0.532,-0.006,0.919,1.854,5.081,-0.664
67,0.536,-0.008,0.911,1.907,4.539,-0.740
68,0.536,-0.007,0.911,1.930,5.486,-0.832
69,0.536,-0.006,0.915,2.098,5.936,-0.565
70,0.535,-0.004,0.912,1.961,5.753,-0.610
71,0.534,-0.008,0.913,1.907,5.226,-0.565
72,0.534,-0.007,0.913,1.953,5.066,-0.839
73,0.537,-0.005,0.920,1.541,5.676,-0.954
74,0.537,-0.011,0.916,1.877,5.730,-0.671
75,0.533,-0.005,0.909,1.877,5.341,-0.542
76,0.532,-0.004,0.917,1.724,4.715,-0.565
77,0.536,-0.007,0.911,1.579,5.432,-0.832
78,0.534,-0.004,0.915,1.717,5.562,-0.824
79,0.535,-0.010,0.917,2.029,5.669,-0.778
80,0.531,-0.008,0.917,1.869,5.089,-0.992
81,0.539,-0.005,0.913,1.816,5.325,-0.793
82,0.533,-0.001,0.916,1.617,6.027,-0.908
83,0.535,-0.007,0.915,1.747,5.669,-0.725
